date,book,chapter_slug,word_count,sources_count,verify_flag_count,pantry_notes_found,pantry_lib_files_used,thin_pantry,mechanism_explained,contested_claims_flagged
2026-06-08,imaging-in-cancer-and-nanomedicine,01-the-resolution-ladder,2979,7,0,yes,0,no,"Wavelength sets the resolution ceiling (Abbe ~200nm light; ~0.004nm electrons); resolution trades inversely against field of view across the EM-to-PET ladder.",0
2026-06-08,imaging-in-cancer-and-nanomedicine,02-anatomic-imaging-ct-ultrasound-and-clinical-context,2810,5,1,yes,0,no,"CT measures X-ray attenuation (whole-body, sub-mm, mSv dose); ultrasound measures reflected sound (local, real-time); both localize masses but cannot diagnose cancer.",1
2026-06-08,imaging-in-cancer-and-nanomedicine,03-mri-and-quantitative-mri,2628,4,0,yes,0,no,"MRI images proton relaxation (T1/T2); quantitative MRI (ADC, DCE) measures cellularity and vascularity, detecting response before size change; standardization unsettled.",1
2026-06-08,imaging-in-cancer-and-nanomedicine,04-pet-spect-and-molecular-imaging,2651,5,1,yes,0,no,"PET reconstructs a radiotracer location from positron annihilation/coincidence detection, mapping function at coarse 4-6mm resolution; a proxy for activity, not malignancy.",0
2026-06-08,imaging-in-cancer-and-nanomedicine,05-theranostic-imaging,2611,6,9,yes,0,no,"One ligand (PSMA), two isotopes: image with Ga-68/F-18 PET, treat with Lu-177; the scan predicts where the drug can deliver dose, lesion by lesion.",3
2026-06-08,imaging-in-cancer-and-nanomedicine,06-fluorescence-microscopy,2677,5,3,yes,0,no,"A fluorophore absorbs one color and emits a longer one (Stokes shift); how you reject unwanted photons (pinhole, two-photon, super-res) sets the scale and question.",0
2026-06-08,imaging-in-cancer-and-nanomedicine,07-flow-cytometry-and-facs,2564,5,4,yes,0,no,"Hydrodynamically focused cells cross a laser one at a time; scatter and per-cell fluorescence give population fractions, built by gating+compensation, not read directly.",1
2026-06-08,imaging-in-cancer-and-nanomedicine,08-histology-ihc-and-multiplex-spatial-profiling,2596,6,7,yes,0,no,"An antibody deposits stain on a specific protein in intact tissue; companion-diagnostic scores (HER2 0-3+, PD-L1 TPS%) are thresholded interpretations of a continuous signal.",4
2026-06-08,imaging-in-cancer-and-nanomedicine,09-electron-microscopy-sem-tem-and-afm,3693,6,9,yes,0,no,"EM trades the finest resolution (TEM ~0.1nm, SEM ~1-5nm, AFM sub-nm) for a killed/fixed/vacuum specimen; artifact-vs-biology, settled by cross-checking preps, is the dominant problem.",1
2026-06-08,imaging-in-cancer-and-nanomedicine,10-in-vivo-preclinical-imaging,2904,6,1,yes,0,no,"Every preclinical modality measures a depth- and delivery-dependent proxy, so an efficacy claim requires concordance across burden/anatomy/function, never a single image.",0
2026-06-08,imaging-in-cancer-and-nanomedicine,11-image-guided-therapy,2929,5,2,yes,0,no,"Imaging is intervention infrastructure: per-fraction accuracy (CBCT, MR-Linac, gating) reduces the geometric margin, which permits high, conformal, organ-sparing dose.",0
2026-06-08,imaging-in-cancer-and-nanomedicine,12-multimodal-integration-and-imaging-evidence,2979,7,0,yes,0,no,"Multimodal integration adds information only when sources fail independently and cover each others scale blind spots; fusion is not averaging, and AI/radiomics fusion is unsettled.",5
